Country,Year,Series,Value
China,1995,GDP per capita (US dollars),592
China,2005,GDP per capita (US dollars),"1,718"
China,2010,GDP per capita (US dollars),"4,447"
China,2015,GDP per capita (US dollars),"7,863"
China,2018,GDP per capita (US dollars),"9,733"
China,2019,GDP per capita (US dollars),"9,960"
China,2020,GDP per capita (US dollars),"10,229"
"China, Hong Kong SAR",1995,GDP per capita (US dollars),"23,775"
"China, Hong Kong SAR",2005,GDP per capita (US dollars),"26,821"
"China, Hong Kong SAR",2010,GDP per capita (US dollars),"32,821"
"China, Hong Kong SAR",2015,GDP per capita (US dollars),"43,054"
"China, Hong Kong SAR",2018,GDP per capita (US dollars),"49,065"
"China, Hong Kong SAR",2019,GDP per capita (US dollars),"49,180"
"China, Hong Kong SAR",2020,GDP per capita (US dollars),"46,611"
Japan,1995,GDP per capita (US dollars),"43,885"
Japan,2005,GDP per capita (US dollars),"37,650"
Japan,2010,GDP per capita (US dollars),"44,803"
Japan,2015,GDP per capita (US dollars),"34,730"
Japan,2018,GDP per capita (US dollars),"39,598"
Japan,2019,GDP per capita (US dollars),"40,586"
Japan,2020,GDP per capita (US dollars),"39,990"
Republic of Korea,1995,GDP per capita (US dollars),"12,509"
Republic of Korea,2005,GDP per capita (US dollars),"19,197"
Republic of Korea,2010,GDP per capita (US dollars),"23,091"
Republic of Korea,2015,GDP per capita (US dollars),"28,841"
Republic of Korea,2018,GDP per capita (US dollars),"33,705"
Republic of Korea,2019,GDP per capita (US dollars),"32,235"
Republic of Korea,2020,GDP per capita (US dollars),"31,947"
Singapore,1995,GDP per capita (US dollars),"24,905"
Singapore,2005,GDP per capita (US dollars),"29,962"
Singapore,2010,GDP per capita (US dollars),"46,736"
Singapore,2015,GDP per capita (US dollars),"55,077"
Singapore,2018,GDP per capita (US dollars),"65,301"
Singapore,2019,GDP per capita (US dollars),"64,503"
Singapore,2020,GDP per capita (US dollars),"58,114"
